tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
194769,2,0.452,2,0.26899999999999996,2,0.298,2,0.435
194770,3,0.735,1,0.044000000000000004,3,0.711,3,0.66
194771,2,0.33399999999999996,1,0.013000000000000001,2,0.253,2,0.306
194772,1,0.019,1,0.011000000000000001,1,0.031,1,0.025
194773,1,0.013999999999999999,1,0.013999999999999999,1,0.022000000000000002,1,0.047
194774,1,0.013000000000000001,1,0.016,2,0.10099999999999999,2,0.13
194775,1,0.018000000000000002,1,0.015,1,0.017,1,0.017
194777,2,0.475,2,0.254,3,0.545,2,0.307
194785,1,0.006,1,0.015,1,0.032,1,0.016
194786,1,0.019,1,0.013000000000000001,1,0.013000000000000001,1,0.048
194946,2,0.10099999999999999,1,0.049,1,0.059000000000000004,2,0.19399999999999998
194947,2,0.11800000000000001,1,0.052000000000000005,2,0.16,2,0.26
195156,2,0.204,1,0.09300000000000001,2,0.193,2,0.217
195157,2,0.182,1,0.099,2,0.155,2,0.249
195158,1,0.027999999999999997,1,0.017,1,0.021,1,0.024
195159,2,0.157,1,0.07200000000000001,1,0.076,1,0.066
195160,2,0.414,1,0.066,3,0.509,2,0.332
195161,3,0.515,1,0.057999999999999996,2,0.14,2,0.191
195165,1,0.09699999999999999,1,0.08800000000000001,2,0.125,2,0.147
195169,2,0.18899999999999997,1,0.098,2,0.165,2,0.34600000000000003
195209,4,1.0,2,0.26,4,0.932,3,0.7709999999999999
195401,4,0.9890000000000001,2,0.11699999999999999,4,1.0,4,1.0
195402,4,1.0,2,0.113,4,1.0,4,1.0
195403,4,1.0,2,0.134,4,1.0,4,1.0
195404,1,0.025,1,0.024,1,0.04,1,0.071
195405,2,0.36,1,0.099,2,0.435,2,0.425
195406,2,0.18899999999999997,1,0.054000000000000006,4,0.987,4,0.9540000000000001
195407,1,0.06,1,0.004,1,0.015,1,0.053
195408,2,0.122,1,0.017,2,0.235,2,0.375
195409,1,0.004,1,0.001,1,0.002,1,0.019
195410,1,0.071,1,0.018000000000000002,1,0.012,1,0.040999999999999995
195411,2,0.107,1,0.017,2,0.239,2,0.268
195412,2,0.217,1,0.031,1,0.046,2,0.14300000000000002
195413,1,0.081,1,0.012,1,0.013999999999999999,1,0.078
195414,2,0.157,1,0.053,1,0.09699999999999999,2,0.455
195415,2,0.239,1,0.057999999999999996,2,0.46799999999999997,2,0.38299999999999995
195416,1,0.008,1,0.018000000000000002,1,0.017,1,0.069
195417,1,0.083,1,0.004,1,0.012,1,0.017
195418,1,0.023,1,0.004,1,0.004,1,0.006
195419,1,0.06,1,0.006,1,0.006,1,0.025
195420,1,0.044000000000000004,1,0.006999999999999999,1,0.009000000000000001,1,0.035
195421,1,0.013000000000000001,1,0.003,1,0.0,1,0.013000000000000001
195422,1,0.013000000000000001,1,0.004,1,0.012,1,0.02
